TransactionID,CustomerID,Gender,Age,City,ProductCategory,Quantity,Price,PurchaseDate,PaymentMode,TotalAmount,Month,DayOfWeek,AgeGroup
T00017,C1434,0,0.019230769230769273,3,4,1,0.36653061224489797,2023-09-07,3,0.07186279640887314,9,Thursday,0
T00018,C4257,2,0.28846153846153855,1,3,5,0.46755102040816326,2023-08-13,3,0.4768307902894642,8,Sunday,1
T00019,C9928,1,0.4423076923076924,1,2,2,0.2953061224489796,2023-04-25,3,0.12009340150569668,4,Tuesday,2
T00020,C7873,1,0.5961538461538463,2,1,1,0.42795918367346936,2023-03-28,0,0.0839808365876243,3,Tuesday,2
T00021,C4611,2,0.730769230769231,3,2,3,0.026122448979591838,2023-05-28,1,0.023068561536293733,5,Sunday,2
T00022,C8359,0,0.5384615384615385,0,3,2,0.8983673469387755,2023-05-13,2,0.3580256854140666,5,Saturday,2
T00023,C5557,0,0.21153846153846156,7,5,2,0.9751020408163266,2023-11-07,3,0.38830065622609605,11,Tuesday,1
T00024,C1106,2,0.576923076923077,0,5,5,0.17775510204081635,2023-02-24,3,0.1909899754418455,2,Friday,2
T00025,C3615,2,0.7115384615384616,2,0,4,0.6385714285714286,2023-04-29,2,0.5155199484681348,4,Saturday,2
T00026,C7924,1,0.6730769230769232,7,1,1,0.43020408163265306,2023-12-08,0,0.08442368855428962,12,Friday,2
T00027,C6574,1,0.42307692307692313,0,0,5,0.9208163265306123,2023-05-23,2,0.9239099802729579,5,Tuesday,1
T00028,C5552,2,0.42307692307692313,4,4,5,0.3444897959183673,2023-03-14,2,0.3554490921534683,3,Tuesday,1
T00029,C3547,2,0.1923076923076924,6,2,3,0.7391836734693877,2023-02-19,1,0.4450662264986513,2,Sunday,1
T00030,C4527,0,0.3076923076923077,8,0,4,0.3687755102040816,2023-04-16,3,0.30262893031120414,4,Sunday,1
T00031,C6514,0,0.9038461538461539,1,0,5,0.5420408163265306,2023-10-10,3,0.5503039574862112,10,Tuesday,3
T00032,C2674,2,0.8461538461538461,8,5,1,0.44918367346938776,2023-09-18,0,0.08816780063609646,9,Monday,3
T00033,C2519,0,0.0961538461538462,5,4,4,0.3408163265306122,2023-03-28,0,0.2805668505173316,3,Tuesday,0
T00034,C7224,1,0.34615384615384615,8,3,1,0.9722448979591837,2023-01-15,0,0.19135230886911714,1,Sunday,1
T00035,C2584,0,0.019230769230769273,1,4,3,0.6610204081632653,2023-11-03,0,0.3988083256169733,11,Friday,0
T00036,C6881,2,0.46153846153846156,3,0,4,0.2602040816326531,2023-01-21,0,0.21695720439631228,1,Saturday,2
T00037,C6635,1,0.05769230769230771,2,0,2,0.7457142857142858,2023-10-04,0,0.2977978179475824,10,Wednesday,0
T00038,C5333,1,0.1923076923076924,2,3,4,0.3873469387755102,2023-10-03,1,0.31728330448085673,10,Tuesday,1
T00039,C1711,1,0.6923076923076924,1,2,1,0.7253061224489796,2023-04-10,1,0.14263859253593142,4,Monday,2
T00040,C8527,0,0.9423076923076924,0,2,5,0.6161224489795918,2023-01-04,3,0.6233745319859898,1,Wednesday,3
T00041,C9785,0,0.25,8,1,3,0.2479591836734694,2023-09-08,2,0.1543540400177141,9,Friday,1
T00042,C3045,1,0.2692307692307693,4,5,4,0.8008163265306123,2023-01-14,1,0.6435444261041104,1,Saturday,1
T00043,C7201,1,0.7884615384615384,3,4,3,0.15653061224489798,2023-07-09,0,0.10024558154515077,7,Sunday,2
T00044,C2291,0,0.2692307692307693,1,2,1,0.8289795918367348,2023-04-15,0,0.16309030154193005,4,Saturday,1
T00045,C5803,0,0.826923076923077,8,6,1,0.30326530612244895,2023-05-25,2,0.05938242280285037,5,Thursday,3
T00046,C6925,1,0.25,0,0,1,0.7679591836734694,2023-10-20,0,0.15105277990257257,10,Friday,1
T00047,C4150,0,0.326923076923077,4,5,5,0.30918367346938774,2023-08-07,2,0.3206248238656951,8,Monday,1
T00048,C2139,0,0.7884615384615384,6,6,2,0.29428571428571426,2023-08-16,2,0.1196908088087282,8,Wednesday,2
T00049,C1750,0,0.5000000000000001,9,4,3,0.3157142857142857,2023-09-24,3,0.19445227263577441,9,Sunday,2
T00050,C4733,0,0.6153846153846154,2,6,2,0.9522448979591837,2023-03-06,2,0.37928257981400215,3,Monday,2
T00051,C5741,2,0.019230769230769273,0,4,2,0.8200000000000001,2023-08-21,0,0.32710656628688756,8,Monday,0
T00052,C2307,2,0.9423076923076924,6,1,3,0.30142857142857143,2023-06-01,2,0.1859978259994364,6,Thursday,3
T00053,C4814,2,0.9423076923076924,0,5,1,0.4714285714285714,2023-02-26,3,0.09255606103305286,2,Sunday,3
T00054,C2654,1,0.826923076923077,8,0,2,0.03510204081632653,2023-12-28,2,0.017432263778735056,12,Thursday,3
T00055,C7227,0,0.0,6,0,3,0.5183673469387755,2023-03-03,0,0.31438463706268366,3,Friday,0
T00056,C5554,2,0.576923076923077,3,4,4,0.27224489795918366,2023-08-16,1,0.22645839204476834,8,Wednesday,2
T00057,C8428,0,0.15384615384615385,1,0,2,0.2969387755102041,2023-08-10,3,0.12073754982084624,8,Thursday,1
T00058,C6977,2,0.7884615384615384,8,1,1,0.6589795918367347,2023-09-10,1,0.12955432988445592,9,Sunday,2
T00059,C3664,1,0.21153846153846156,2,2,5,0.31387755102040815,2023-05-15,0,0.3252546398808326,5,Monday,1
T00060,C7065,1,0.730769230769231,9,5,3,0.11591836734693878,2023-02-14,0,0.07621079753613269,2,Tuesday,2
T00061,C6820,2,0.980769230769231,3,6,2,0.23979591836734696,2023-03-12,1,0.09819235879061154,3,Sunday,3
T00062,C4432,1,0.0,5,0,1,0.12040816326530612,2023-05-23,0,0.02331011715447482,5,Tuesday,0
T00063,C5374,0,0.2692307692307693,0,6,1,0.7128571428571429,2023-12-09,1,0.1401827770844237,12,Saturday,1
T00064,C2169,0,0.3076923076923077,1,2,3,0.41,2023-03-01,0,0.2502516204356053,3,Wednesday,1
T00065,C3803,1,0.730769230769231,4,1,4,0.7606122448979592,2023-07-01,0,0.6118201215829945,7,Saturday,2
T00066,C9751,0,0.980769230769231,2,5,1,0.6728571428571428,2023-02-10,3,0.13229196022384154,2,Friday,3
T00067,C5010,2,0.3653846153846154,9,3,3,0.16755102040816328,2023-04-24,2,0.1067675832360401,4,Monday,1
T00068,C3677,2,0.8653846153846155,8,6,2,0.8806122448979592,2023-02-08,1,0.35102057248681506,2,Wednesday,3
T00069,C8573,2,0.8653846153846155,3,2,4,0.22938775510204082,2023-06-17,3,0.19264060549941625,6,Saturday,3
T00070,C7216,0,0.7884615384615384,4,3,3,0.019591836734693877,2023-03-22,3,0.019203671645396353,3,Wednesday,2
T00071,C5422,2,0.326923076923077,9,5,3,0.16653061224489796,2023-09-17,2,0.10616369419058738,9,Sunday,1
T00072,C4598,1,0.5192307692307693,0,4,4,0.6316326530612245,2023-06-21,0,0.5100446877893635,6,Wednesday,2
T00073,C6313,2,0.46153846153846156,4,0,1,0.6418367346938776,2023-05-22,3,0.12617255122992072,5,Monday,2
T00074,C1916,0,0.42307692307692313,8,3,1,0.034489795918367344,2023-08-21,3,0.006360964612101936,8,Monday,1
T00075,C4752,0,0.5576923076923077,4,5,2,0.18387755102040818,2023-11-19,0,0.07613027899673899,11,Sunday,2
T00076,C1525,2,0.3076923076923077,0,3,2,0.022653061224489797,2023-09-20,3,0.012520632875719636,9,Wednesday,1
T00077,C6168,1,0.25,3,2,5,0.0730612244897959,2023-12-11,2,0.08772494866943113,12,Monday,1
T00078,C7572,1,0.5576923076923077,5,5,5,0.22081632653061226,2023-02-07,3,0.23346350497201984,2,Tuesday,2
T00079,C5386,1,0.3653846153846154,4,5,2,0.4151020408163265,2023-12-28,1,0.1673577841297959,12,Thursday,1
T00080,C2084,0,0.826923076923077,0,4,4,0.13959183673469389,2023-12-19,2,0.12178429083296428,12,Tuesday,3
T00081,C4456,1,0.6346153846153847,9,0,5,0.4473469387755102,2023-06-11,2,0.45690245178952454,6,Sunday,2
T00082,C6155,0,1.0,2,5,5,0.2383673469387755,2023-01-20,2,0.25077499094166433,1,Friday,3
T00083,C4483,2,0.7500000000000001,6,2,4,0.022448979591836733,2023-08-10,0,0.029349007609001977,8,Thursday,2
T00084,C9179,2,0.48076923076923084,1,5,1,0.015510204081632652,2023-02-21,2,0.0026168525302951006,2,Tuesday,2
T00085,C7482,0,0.7115384615384616,8,5,3,0.17775510204081635,2023-12-28,2,0.11280647369056725,12,Thursday,2
T00086,C8517,0,0.11538461538461542,5,6,1,0.906734693877551,2023-09-24,3,0.178429083296429,9,Sunday,0
T00087,C3340,2,0.0,5,0,3,0.5657142857142857,2023-06-12,3,0.3424050887716897,6,Monday,0
T00088,C5339,2,0.6153846153846154,3,2,4,0.14204081632653062,2023-04-08,1,0.12371673577841298,4,Saturday,2
T00089,C3287,0,0.8076923076923078,2,6,5,0.33816326530612245,2023-10-13,2,0.34920890535045696,10,Friday,2
T00090,C5040,2,0.4423076923076924,0,3,4,0.23265306122448984,2023-12-05,2,0.1952171987600145,12,Tuesday,2
T00091,C9830,2,0.6730769230769232,2,1,1,0.8030612244897959,2023-11-17,1,0.15797737429043038,11,Friday,2
T00092,C5304,1,0.7884615384615384,4,0,4,0.9408163265306123,2023-01-19,2,0.7540158621522606,1,Thursday,2
T00093,C8019,1,0.730769230769231,6,3,1,0.7426530612244898,2023-11-21,3,0.14606063046016346,11,Tuesday,2
T00094,C7543,2,0.730769230769231,8,1,4,0.2726530612244898,2023-11-18,1,0.2267804662023431,11,Saturday,2
T00095,C6930,2,0.34615384615384615,4,2,2,0.5138775510204081,2023-01-05,0,0.20632875719634447,1,Thursday,1
T00096,C4593,1,0.3653846153846154,3,6,1,0.5544897959183673,2023-05-06,1,0.10894158379966988,5,Saturday,1
T00097,C3266,2,0.826923076923077,4,1,3,0.8006122448979592,2023-03-12,0,0.48142034703490477,3,Sunday,3
T00098,C9348,0,0.11538461538461542,9,3,5,0.25816326530612244,2023-10-28,3,0.27030073674463545,10,Saturday,0
T00099,C9085,2,0.576923076923077,6,6,5,0.40755102040816327,2023-07-12,1,0.41764966383509805,7,Wednesday,2
T00100,C2489,2,0.07692307692307698,8,5,1,0.09326530612244899,2023-04-23,1,0.017955634284794075,4,Sunday,0
T00101,C1771,0,0.40384615384615385,1,1,2,0.9085714285714286,2023-12-11,2,0.3620516123837514,12,Monday,1
T00102,C2796,1,0.326923076923077,2,5,5,0.4471428571428571,2023-04-11,0,0.4567011554410403,4,Tuesday,1
T00103,C3504,2,0.7692307692307693,7,1,2,0.9087755102040816,2023-05-16,2,0.36213213092314506,5,Tuesday,2
T00104,C3621,1,0.3846153846153847,3,1,3,0.20571428571428574,2023-08-29,2,0.12935303353597166,8,Tuesday,1
T00105,C7916,1,0.326923076923077,9,0,5,0.03530612244897959,2023-03-19,3,0.05048512419984702,3,Sunday,1
T00106,C2040,2,0.3076923076923077,4,1,4,0.07428571428571429,2023-09-06,3,0.07025242562099923,9,Wednesday,1
T00107,C7304,2,0.7884615384615384,8,5,4,0.17183673469387756,2023-04-06,1,0.14722814928137204,4,Thursday,2
T00108,C7252,1,0.8653846153846155,8,5,1,0.9104081632653062,2023-09-12,0,0.1791537501509723,9,Tuesday,3
T00109,C8668,2,0.7884615384615384,7,0,5,0.4959183673469387,2023-05-25,3,0.5048109827287733,5,Thursday,2
T00110,C9669,2,0.3653846153846154,0,0,2,0.17142857142857143,2023-03-09,0,0.07121864809372358,3,Thursday,1
T00111,C5119,1,0.23076923076923084,7,0,2,0.8551020408163266,2023-04-12,0,0.34095575506260317,4,Wednesday,1
T00112,C1188,1,0.17307692307692313,1,5,3,0.6942857142857143,2023-11-22,0,0.41849510849873184,11,Wednesday,1
T00113,C2876,0,0.6346153846153847,6,2,5,0.23693877551020412,2023-02-15,1,0.24936591650227466,2,Wednesday,2
T00114,C9797,2,0.9230769230769232,3,6,2,0.0018367346938775488,2023-09-22,0,0.004307741857562704,9,Friday,3
T00115,C5371,0,0.28846153846153855,4,6,2,0.37489795918367347,2023-04-20,2,0.1514956318692379,4,Thursday,1
T00116,C6573,1,0.05769230769230771,1,5,5,0.04,2023-01-02,0,0.055114940214984504,1,Monday,0
T00117,C2827,2,0.980769230769231,0,1,4,0.3787755102040816,2023-08-11,1,0.3105197471717863,8,Friday,3
T00118,C5808,1,0.980769230769231,3,3,5,0.7140816326530612,2023-02-04,2,0.7199967792584243,2,Saturday,3
T00119,C8123,2,0.980769230769231,7,2,4,0.6442857142857142,2023-09-09,0,0.5200289866741817,9,Saturday,3
T00120,C3591,2,0.730769230769231,6,3,1,0.24632653061224494,2023-10-13,0,0.048150086557429854,10,Friday,2
T00121,C8433,0,0.48076923076923084,8,6,1,0.5906122448979592,2023-11-09,2,0.11606747453601192,11,Thursday,2
T00122,C1053,1,0.8076923076923078,8,5,4,0.4793877551020408,2023-04-17,0,0.38991102701396996,4,Monday,2
T00123,C5315,2,0.3846153846153847,6,5,5,0.37755102040816324,2023-12-30,1,0.388059100607915,12,Saturday,1
T00124,C9201,0,0.826923076923077,1,1,3,0.643061224489796,2023-04-02,0,0.3881798784170055,4,Sunday,3
T00125,C3927,1,0.15384615384615385,5,4,2,0.18775510204081633,2023-01-20,0,0.07766013124521921,1,Friday,1
T00126,C9317,0,0.8846153846153847,3,4,1,0.8220408163265306,2023-08-03,0,0.1617214863722372,8,Thursday,3
T00127,C2743,1,0.019230769230769273,1,5,1,0.28346938775510205,2023-12-19,3,0.05547727364225613,12,Tuesday,0
T00128,C5889,2,0.7884615384615384,0,3,4,0.18408163265306124,2023-05-15,0,0.1568903740086155,5,Monday,2
T00129,C9317,0,0.5961538461538463,4,2,3,0.3753061224489796,2023-11-11,2,0.22971939289021298,11,Saturday,2
T00130,C4258,0,0.34615384615384615,6,3,5,0.17,2023-07-14,1,0.18334071419944445,7,Friday,1
T00131,C3504,2,0.3076923076923077,5,3,3,0.4710204081632653,2023-11-20,3,0.2863641853536777,11,Monday,1
T00132,C7126,1,0.5000000000000001,6,6,4,0.5973469387755102,2023-10-26,2,0.48299045855308187,10,Thursday,2
T00133,C3646,2,0.48076923076923084,0,3,3,0.1273469387755102,2023-05-01,3,0.0829743548452031,5,Monday,2
T00134,C9837,0,0.46153846153846156,4,1,2,0.5577551020408164,2023-11-23,3,0.223640243165989,11,Thursday,2
T00135,C9689,2,0.9038461538461539,8,3,5,0.19775510204081634,2023-06-28,3,0.2107170175933009,6,Wednesday,3
T00136,C1009,0,0.03846153846153849,9,1,5,0.6026530612244898,2023-09-05,3,0.61008897298603,9,Tuesday,0
T00137,C6310,2,0.7115384615384616,6,6,3,0.1416326530612245,2023-09-29,2,0.09142880148154113,9,Friday,2
T00138,C9005,1,0.8653846153846155,1,6,1,0.07244897959183674,2023-12-03,0,0.013849188775715608,12,Sunday,3
T00139,C1319,0,0.6923076923076924,2,0,2,0.2524489795918367,2023-04-03,2,0.10318450823302065,4,Monday,2
T00140,C2832,0,1.0,8,1,5,0.2975510204081633,2023-06-03,1,0.3091509320020935,6,Saturday,3
T00141,C6947,1,0.23076923076923084,0,6,5,0.716530612244898,2023-04-29,1,0.7224123354402351,4,Saturday,1
T00142,C6038,2,0.40384615384615385,0,1,1,0.886734693877551,2023-05-30,2,0.17448367486613794,5,Tuesday,1
T00143,C4923,1,0.8846153846153847,5,6,3,0.559795918367347,2023-12-09,2,0.33890253230806394,12,Saturday,3
T00144,C1949,2,0.8653846153846155,2,0,1,0.3030612244897959,2023-09-06,0,0.05934216353315352,9,Wednesday,3
T00145,C4946,1,0.2692307692307693,5,6,4,0.7108163265306122,2023-09-08,1,0.5725270743588712,9,Friday,1
T00146,C2290,1,0.826923076923077,0,0,1,0.2510204081632653,2023-11-19,1,0.049076049760457346,11,Sunday,3
T00147,C2403,0,0.6538461538461539,4,1,2,0.5040816326530613,2023-07-20,3,0.2024638673054471,7,Thursday,2
T00148,C8962,0,0.7692307692307693,7,1,5,0.4797959183673469,2023-11-03,0,0.4889085711985185,11,Friday,2
T00149,C2133,2,0.9615384615384616,1,2,3,0.5822448979591837,2023-07-02,0,0.3521880913080237,7,Sunday,3
T00150,C9727,1,0.576923076923077,5,4,4,0.1736734693877551,2023-10-06,3,0.14867748299045858,10,Friday,2
T00151,C3060,2,0.8076923076923078,6,4,2,0.4530612244897959,2023-09-04,0,0.18233423245702324,9,Monday,2
T00152,C3103,1,0.42307692307692313,6,2,5,0.8344897959183674,2023-06-01,0,0.838761624864125,6,Thursday,1
T00153,C8787,1,0.6153846153846154,0,2,5,0.616938775510204,2023-02-19,3,0.6241797173799267,2,Sunday,2
T00154,C3705,0,0.3653846153846154,2,1,3,0.4436734693877551,2023-04-23,0,0.2701799589355449,4,Sunday,1
T00155,C5342,1,0.1923076923076924,7,3,3,0.12755102040816327,2023-02-27,3,0.08309513265429365,2,Monday,1
T00156,C9645,0,0.8076923076923078,5,2,3,0.0034693877551020408,2023-05-28,3,0.009662224727243447,5,Sunday,2
T00157,C7932,0,0.6730769230769232,1,4,4,0.24836734693877552,2023-08-03,0,0.2076170538266436,8,Thursday,2
T00158,C4470,1,0.21153846153846156,3,5,3,0.2448979591836735,2023-08-17,0,0.15254237288135594,8,Thursday,1
T00159,C9835,1,0.34615384615384615,5,5,2,0.5353061224489796,2023-06-16,2,0.21478320383268248,6,Friday,1
T00160,C4295,2,0.11538461538461542,1,0,3,0.24693877551020407,2023-05-07,1,0.15375015097226138,5,Sunday,0
T00161,C6107,2,0.576923076923077,0,5,3,0.6528571428571429,2023-12-06,0,0.3939772132533516,12,Wednesday,2
T00162,C7537,2,0.15384615384615385,2,3,2,0.746734693877551,2023-08-06,2,0.2982004106445509,8,Sunday,1
T00163,C7118,0,0.9038461538461539,2,1,4,0.799795918367347,2023-03-01,0,0.6427392407101735,3,Wednesday,3
T00164,C8177,0,0.3076923076923077,5,4,5,0.11244897959183675,2023-04-01,3,0.12657514392688918,4,Saturday,1
T00165,C9479,0,0.8846153846153847,6,6,3,0.18918367346938778,2023-08-26,1,0.11957003099963767,8,Saturday,3
T00166,C8397,0,0.980769230769231,0,6,1,0.9659183673469388,2023-06-13,0,0.19010427150851486,6,Tuesday,3
T00167,C2982,0,0.6730769230769232,8,1,2,0.7144897959183674,2023-12-05,0,0.28547848142034704,12,Tuesday,2
T00168,C5061,0,0.9230769230769232,5,5,1,0.46551020408163263,2023-02-28,3,0.09138854221184428,2,Tuesday,3
T00169,C4681,1,0.21153846153846156,9,3,5,0.2418367346938776,2023-06-27,0,0.25419702886589635,6,Tuesday,1
T00170,C2049,2,0.826923076923077,1,0,4,0.1510204081632653,2023-12-23,2,0.1308023672450582,12,Saturday,3
T00171,C6539,2,0.40384615384615385,8,5,1,0.54,2023-07-23,2,0.10608317565119368,7,Sunday,1
T00172,C1344,2,0.7884615384615384,7,2,1,0.21306122448979592,2023-12-27,1,0.041587825596843674,12,Wednesday,2
T00173,C4770,1,0.0961538461538462,6,0,2,0.30387755102040814,2023-03-07,1,0.12347518016023189,3,Tuesday,0
T00174,C4608,2,0.2692307692307693,7,1,4,0.6436734693877552,2023-09-05,2,0.5195458754378196,9,Tuesday,1
T00175,C1117,0,0.42307692307692313,4,2,5,0.5893877551020408,2023-09-08,1,0.5970047103345546,9,Friday,1
T00176,C2163,1,0.2692307692307693,6,3,4,0.5336734693877551,2023-11-04,3,0.4327468899714159,11,Saturday,1
T00177,C1964,1,0.9038461538461539,3,3,4,0.8261224489795919,2023-07-30,0,0.663513023873747,7,Sunday,3
T00178,C4750,2,0.3653846153846154,5,1,5,0.7085714285714286,2023-12-18,3,0.7145617778493498,12,Monday,1
T00179,C2104,0,0.5000000000000001,9,0,1,0.8044897959183673,2023-05-01,2,0.15825918917830833,5,Monday,2
T00180,C1514,2,0.9615384615384616,4,3,1,0.6920408163265306,2023-01-15,1,0.13607633157534524,1,Sunday,3
T00181,C6413,1,0.40384615384615385,5,0,5,0.5573469387755102,2023-05-29,3,0.5654011836225291,5,Monday,1
T00182,C2160,2,0.4423076923076924,0,3,1,0.23102040816326533,2023-05-18,0,0.045130641330166275,5,Thursday,2
T00183,C9423,1,0.3076923076923077,5,5,4,0.4110204081632653,2023-09-17,1,0.33596360562019406,9,Sunday,1
T00184,C4899,1,0.7115384615384616,1,3,1,0.6406122448979592,2023-04-21,2,0.12593099561173962,4,Friday,2
T00185,C5562,1,0.34615384615384615,7,3,3,0.6997959183673469,2023-07-29,2,0.4217561093441765,7,Saturday,1
T00186,C8953,0,0.5576923076923077,2,3,4,0.9183673469387755,2023-02-01,1,0.7363017834856476,2,Wednesday,2
T00187,C4510,0,0.13461538461538464,6,2,5,0.8310204081632653,2023-10-15,3,0.835339586939893,10,Sunday,0
T00188,C9834,2,0.576923076923077,9,4,3,0.9006122448979592,2023-06-15,2,0.5406014734892709,6,Thursday,2
T00189,C3167,2,0.05769230769230771,6,0,4,0.8922448979591837,2023-05-14,1,0.7156890374008615,5,Sunday,0
T00190,C8744,2,0.7692307692307693,3,1,2,0.823469387755102,2023-12-12,3,0.3284753814565804,12,Tuesday,2
T00191,C4981,0,0.7115384615384616,3,1,1,0.8902040816326531,2023-06-12,3,0.17516808245098436,6,Monday,2
T00192,C8749,2,0.7115384615384616,5,2,1,0.8963265306122449,2023-07-30,0,0.17637586054188978,7,Sunday,2
T00193,C7669,0,0.7500000000000001,3,2,4,0.3846938775510204,2023-07-20,3,0.31518982245662064,7,Thursday,2
T00194,C4119,1,0.07692307692307698,8,2,3,0.6428571428571429,2023-08-15,2,0.388059100607915,8,Tuesday,0
T00195,C2545,1,0.576923076923077,1,1,2,0.13959183673469389,2023-08-06,0,0.0586577559483071,8,Sunday,2
T00196,C2588,0,0.23076923076923084,1,4,4,0.9712244897959184,2023-07-24,1,0.7780103868915819,7,Monday,1
T00197,C8062,0,0.6153846153846154,8,1,1,0.7051020408163265,2023-05-14,1,0.1386529248359435,5,Sunday,2
T00198,C6804,1,0.13461538461538464,4,4,2,0.8808163265306123,2023-01-28,2,0.3511010910262088,1,Saturday,0
T00199,C7939,0,0.826923076923077,3,2,1,0.9659183673469388,2023-05-18,0,0.19010427150851486,5,Thursday,3
T00200,C7735,1,0.46153846153846156,0,3,3,0.36653061224489797,2023-09-06,3,0.22452594709931964,9,Wednesday,2
T00201,C8651,2,0.6346153846153847,4,2,3,0.1457142857142857,2023-04-23,3,0.09384435766335199,4,Sunday,2
T00202,C1887,1,0.3653846153846154,3,2,2,0.3930612244897959,2023-06-23,3,0.1586617818752768,6,Friday,1
T00203,C2612,1,0.5000000000000001,8,1,1,0.6046938775510204,2023-11-22,1,0.1188453641450944,11,Wednesday,2
T00204,C1993,2,0.05769230769230771,7,0,5,0.004693877551020409,2023-01-24,1,0.02029067192721124,1,Tuesday,0
T00205,C7596,0,0.17307692307692313,9,6,3,0.3397959183673469,2023-06-07,2,0.2087040541084585,6,Wednesday,1
T00206,C6559,2,0.15384615384615385,0,6,2,0.028571428571428574,2023-08-18,2,0.014855670518136802,8,Friday,1
T00207,C2790,1,0.23076923076923084,5,2,2,0.6057142857142858,2023-07-29,2,0.2425620999235074,7,Saturday,1
T00208,C5073,1,0.40384615384615385,7,4,4,0.933469387755102,2023-04-24,2,0.7482185273159145,4,Monday,1
T00209,C4139,1,0.5000000000000001,7,2,3,0.7922448979591837,2023-10-21,3,0.4764684568621925,10,Saturday,2
T00210,C4116,1,0.6923076923076924,2,5,1,0.223265306122449,2023-03-27,2,0.04360078908168606,3,Monday,2
T00211,C9786,1,0.5576923076923077,8,2,3,0.18408163265306124,2023-10-02,2,0.1165505857723741,10,Monday,2
T00212,C8350,2,0.17307692307692313,6,2,4,0.09959183673469388,2023-04-16,1,0.09022102339063569,4,Sunday,1
T00213,C3296,1,0.3846153846153847,4,5,5,0.5838775510204082,2023-11-17,1,0.5915697089254801,11,Friday,1
T00214,C7912,0,0.8653846153846155,7,0,2,0.603265306122449,2023-02-26,1,0.24159587745078306,2,Sunday,3
T00215,C4006,2,0.21153846153846156,3,2,1,0.23285714285714285,2023-11-11,3,0.0454929747574379,11,Saturday,1
T00216,C5563,2,0.9423076923076924,8,1,2,0.4926530612244898,2023-11-09,0,0.19795482909940015,11,Thursday,3
T00217,C8579,2,0.0961538461538462,4,2,4,0.7695918367346939,2023-06-18,3,0.6189057530496397,6,Sunday,0
T00218,C5092,1,0.5961538461538463,0,1,1,0.24081632653061227,2023-03-08,0,0.047063086275614965,3,Wednesday,2
T00219,C2235,1,0.40384615384615385,3,2,3,0.9218367346938776,2023-11-06,3,0.5531623656346873,11,Monday,1
T00220,C8260,2,0.7692307692307693,0,6,5,0.7038775510204082,2023-10-04,2,0.7099319618342124,10,Wednesday,2
T00221,C2604,1,0.21153846153846156,8,3,5,0.40530612244897957,2023-01-11,1,0.4154354040017714,1,Wednesday,1
T00222,C1828,0,0.3846153846153847,6,6,4,0.3522448979591837,2023-01-11,3,0.2895849269294255,1,Wednesday,1
T00223,C9856,0,0.7692307692307693,5,3,2,0.3753061224489796,2023-07-14,3,0.1516566689480253,7,Friday,2
T00224,C1241,1,0.05769230769230771,9,3,5,0.09326530612244899,2023-02-16,3,0.10765328716937075,2,Thursday,0
T00225,C2528,2,0.0,6,0,2,0.23020408163265307,2023-12-27,1,0.09440798743910786,12,Wednesday,0
T00226,C4872,1,0.5384615384615385,8,5,5,0.1959183673469388,2023-06-20,1,0.20890535045694272,6,Tuesday,2
T00227,C3724,1,0.326923076923077,7,2,5,0.23918367346938776,2023-06-30,1,0.25158017633560126,6,Friday,1
T00228,C7658,1,0.25,2,2,5,0.6310204081632653,2023-10-11,1,0.6380691654253392,10,Wednesday,1
T00229,C8956,2,0.9230769230769232,5,3,2,0.04387755102040817,2023-02-02,1,0.02089456097266396,2,Thursday,3
