TransactionID,CustomerID,Gender,Age,City,ProductCategory,Quantity,Price,PurchaseDate,PaymentMode,TotalAmount
T00037,C6635,Male,21,Chennai,Beauty,2,3754,2023-10-04,Card,7508
T00038,C5333,Male,28,Chennai,Fashion,4,1998,2023-10-03,Cash,7992
T00039,C1711,Male,54,Bengaluru,Electronics,1,3654,2023-04-10,Cash,3654
T00040,C8527,Female,67,Ahmedabad,Electronics,5,3119,2023-01-04,Wallet,15595
T00041,C9785,Female,31,Mumbai,Books,3,1315,2023-09-08,UPI,3945
T00042,C3045,Male,32,Hyderabad,Groceries,4,4024,2023-01-14,Cash,16096
T00043,C7201,Male,59,Delhi,Furniture,3,867,2023-07-09,Card,2601
T00044,C2291,Female,32,Bengaluru,Electronics,1,4162,2023-04-15,Card,4162
T00045,C5803,Female,61,Mumbai,Sports,1,1586,2023-05-25,UPI,1586
T00046,C6925,Male,31,Ahmedabad,Beauty,1,3863,2023-10-20,Card,3863
T00047,C4150,Female,35,Hyderabad,Groceries,5,1615,2023-08-07,UPI,8075
T00048,C2139,Female,59,Kolkata,Sports,2,1542,2023-08-16,UPI,3084
T00049,C1750,Female,44,Pune,Furniture,3,1647,2023-09-24,Wallet,4941
T00050,C4733,Female,50,Chennai,Sports,2,4766,2023-03-06,UPI,9532
T00051,C5741,Other,19,Ahmedabad,Furniture,2,4118,2023-08-21,Card,8236
T00052,C2307,Other,67,Kolkata,Books,3,1577,2023-06-01,UPI,4731
T00053,C4814,Other,67,Ahmedabad,Groceries,1,2410,2023-02-26,Wallet,2410
T00054,C2654,Male,61,Mumbai,Beauty,2,272,2023-12-28,UPI,544
T00055,C7227,Female,18,Kolkata,Beauty,3,2640,2023-03-03,Card,7920
T00056,C5554,Other,48,Delhi,Furniture,4,1434,2023-08-16,Cash,5736
T00057,C8428,Female,26,Bengaluru,Beauty,2,1555,2023-08-10,Wallet,3110
T00058,C6977,Other,59,Mumbai,Books,1,3329,2023-09-10,Cash,3329
T00059,C3664,Male,29,Chennai,Electronics,5,1638,2023-05-15,Card,8190
T00060,C7065,Male,56,Pune,Groceries,3,668,2023-02-14,Card,2004
T00061,C6820,Other,69,Delhi,Sports,2,1275,2023-03-12,Cash,2550
T00062,C4432,Male,18,Jaipur,Beauty,1,690,2023-05-23,Card,690
T00063,C5374,Female,32,Ahmedabad,Sports,1,3593,2023-12-09,Cash,3593
T00064,C2169,Female,34,Bengaluru,Electronics,3,2109,2023-03-01,Card,6327
T00065,C3803,Male,56,Hyderabad,Books,4,3827,2023-07-01,Card,15308
T00066,C9751,Female,69,Chennai,Groceries,1,3397,2023-02-10,Wallet,3397
T00067,C5010,Other,37,Pune,Fashion,3,921,2023-04-24,UPI,2763
T00068,C3677,Other,63,Mumbai,Sports,2,4415,2023-02-08,Cash,8830
T00069,C8573,Other,63,Delhi,Electronics,4,1224,2023-06-17,Wallet,4896
T00070,C7216,Female,59,Hyderabad,Fashion,3,196,2023-03-22,Wallet,588
T00071,C5422,Other,35,Pune,Groceries,3,916,2023-09-17,UPI,2748
T00072,C4598,Male,45,Ahmedabad,Furniture,4,3195,2023-06-21,Card,12780
T00073,C6313,Other,42,Hyderabad,Beauty,1,3245,2023-05-22,Wallet,3245
T00074,C1916,Female,40,Mumbai,Fashion,1,269,2023-08-21,Wallet,269
T00075,C4752,Female,47,Hyderabad,Groceries,2,1001,2023-11-19,Card,2002
T00076,C1525,Other,34,Ahmedabad,Fashion,2,211,2023-09-20,Wallet,422
T00077,C6168,Male,31,Delhi,Electronics,5,458,2023-12-11,UPI,2290
T00078,C7572,Male,47,Jaipur,Groceries,5,1182,2023-02-07,Wallet,5910
T00079,C5386,Male,37,Hyderabad,Groceries,2,2134,2023-12-28,Cash,4268
T00080,C2084,Female,61,Ahmedabad,Furniture,4,784,2023-12-19,UPI,3136
T00081,C4456,Male,51,Pune,Beauty,5,2292,2023-06-11,UPI,11460
T00082,C6155,Female,70,Chennai,Groceries,5,1268,2023-01-20,UPI,6340
T00083,C4483,Other,57,Kolkata,Electronics,4,210,2023-08-10,Card,840
T00084,C9179,Other,43,Bengaluru,Groceries,1,176,2023-02-21,UPI,176
T00085,C7482,Female,55,Mumbai,Groceries,3,971,2023-12-28,UPI,2913
T00086,C8517,Female,24,Jaipur,Sports,1,4543,2023-09-24,Wallet,4543
T00087,C3340,Other,18,Jaipur,Beauty,3,2872,2023-06-12,Wallet,8616
T00088,C5339,Other,50,Delhi,Electronics,4,796,2023-04-08,Cash,3184
T00089,C3287,Female,60,Chennai,Sports,5,1757,2023-10-13,UPI,8785
T00090,C5040,Other,41,Ahmedabad,Fashion,4,1240,2023-12-05,UPI,4960
T00091,C9830,Other,53,Chennai,Books,1,4035,2023-11-17,Cash,4035
T00092,C5304,Male,59,Hyderabad,Beauty,4,4710,2023-01-19,UPI,18840
T00093,C8019,Male,56,Kolkata,Fashion,1,3739,2023-11-21,Wallet,3739
T00094,C7543,Other,56,Mumbai,Books,4,1436,2023-11-18,Cash,5744
T00095,C6930,Other,36,Hyderabad,Electronics,2,2618,2023-01-05,Card,5236
T00096,C4593,Male,37,Delhi,Sports,1,2817,2023-05-06,Cash,2817
T00097,C3266,Other,61,Hyderabad,Books,3,4023,2023-03-12,Card,12069
T00098,C9348,Female,24,Pune,Fashion,5,1365,2023-10-28,Wallet,6825
T00099,C9085,Other,48,Kolkata,Sports,5,2097,2023-07-12,Cash,10485
T00100,C2489,Other,22,Mumbai,Groceries,1,557,2023-04-23,Cash,557
T00101,C1771,Female,39,Bengaluru,Books,2,4552,2023-12-11,UPI,9104
T00102,C2796,Male,35,Chennai,Groceries,5,2291,2023-04-11,Card,11455
T00103,C3504,Other,58,Lucknow,Books,2,4553,2023-05-16,UPI,9106
T00104,C3621,Male,38,Delhi,Books,3,1108,2023-08-29,UPI,3324
T00105,C7916,Male,35,Pune,Beauty,5,273,2023-03-19,Wallet,1365
T00106,C2040,Other,34,Hyderabad,Books,4,464,2023-09-06,Wallet,1856
T00107,C7304,Other,59,Mumbai,Groceries,4,942,2023-04-06,Cash,3768
T00108,C7252,Male,63,Mumbai,Groceries,1,4561,2023-09-12,Card,4561
T00109,C8668,Other,59,Lucknow,Beauty,5,2530,2023-05-25,Wallet,12650
T00110,C9669,Other,37,Ahmedabad,Beauty,2,940,2023-03-09,Card,1880
T00111,C5119,Male,30,Lucknow,Beauty,2,4290,2023-04-12,Card,8580
T00112,C1188,Male,27,Bengaluru,Groceries,3,3502,2023-11-22,Card,10506
T00113,C2876,Female,51,Kolkata,Electronics,5,1261,2023-02-15,Cash,6305
T00114,C9797,Other,66,Delhi,Sports,2,109,2023-09-22,Card,218
T00115,C5371,Female,33,Hyderabad,Sports,2,1937,2023-04-20,UPI,3874
T00116,C6573,Male,21,Bengaluru,Groceries,5,296,2023-01-02,Card,1480
T00117,C2827,Other,69,Ahmedabad,Books,4,1956,2023-08-11,Cash,7824
T00118,C5808,Male,69,Delhi,Fashion,5,3599,2023-02-04,UPI,17995
T00119,C8123,Other,69,Lucknow,Electronics,4,3257,2023-09-09,Card,13028
T00120,C3591,Other,56,Kolkata,Fashion,1,1307,2023-10-13,Card,1307
T00121,C8433,Female,43,Mumbai,Sports,1,2994,2023-11-09,UPI,2994
T00122,C1053,Male,60,Mumbai,Groceries,4,2449,2023-04-17,Card,9796
T00123,C5315,Other,38,Kolkata,Groceries,5,1950,2023-12-30,Cash,9750
T00124,C9201,Female,61,Bengaluru,Books,3,3251,2023-04-02,Card,9753
T00125,C3927,Male,26,Jaipur,Furniture,2,1020,2023-01-20,Card,2040
T00126,C9317,Female,64,Delhi,Furniture,1,4128,2023-08-03,Card,4128
T00127,C2743,Male,19,Bengaluru,Groceries,1,1489,2023-12-19,Wallet,1489
T00128,C5889,Other,59,Ahmedabad,Fashion,4,1002,2023-05-15,Card,4008
T00129,C9317,Female,49,Hyderabad,Electronics,3,1939,2023-11-11,UPI,5817
T00130,C4258,Female,36,Kolkata,Fashion,5,933,2023-07-14,Cash,4665
T00131,C3504,Other,34,Jaipur,Fashion,3,2408,2023-11-20,Wallet,7224
T00132,C7126,Male,44,Kolkata,Sports,4,3027,2023-10-26,UPI,12108
T00133,C3646,Other,43,Ahmedabad,Fashion,3,724,2023-05-01,Wallet,2172
T00134,C9837,Female,42,Hyderabad,Books,2,2833,2023-11-23,Wallet,5666
T00135,C9689,Other,65,Mumbai,Fashion,5,1069,2023-06-28,Wallet,5345
T00136,C1009,Female,20,Pune,Books,5,3053,2023-09-05,Wallet,15265
T00137,C6310,Other,55,Kolkata,Sports,3,794,2023-09-29,UPI,2382
T00138,C9005,Male,63,Bengaluru,Sports,1,455,2023-12-03,Card,455
T00139,C1319,Female,54,Chennai,Beauty,2,1337,2023-04-03,UPI,2674
T00140,C2832,Female,70,Mumbai,Books,5,1558,2023-06-03,Cash,7790
T00141,C6947,Male,30,Ahmedabad,Sports,5,3611,2023-04-29,Cash,18055
T00142,C6038,Other,39,Ahmedabad,Books,1,4445,2023-05-30,UPI,4445
T00143,C4923,Male,64,Jaipur,Sports,3,2843,2023-12-09,UPI,8529
T00144,C1949,Other,63,Chennai,Beauty,1,1585,2023-09-06,Card,1585
T00145,C4946,Male,32,Jaipur,Sports,4,3583,2023-09-08,Cash,14332
T00146,C2290,Male,61,Ahmedabad,Beauty,1,1330,2023-11-19,Cash,1330
T00147,C2403,Female,52,Hyderabad,Books,2,2570,2023-07-20,Wallet,5140
T00148,C8962,Female,58,Lucknow,Books,5,2451,2023-11-03,Card,12255
T00149,C2133,Other,68,Bengaluru,Electronics,3,2953,2023-07-02,Card,8859
T00150,C9727,Male,48,Jaipur,Furniture,4,951,2023-10-06,Wallet,3804
T00151,C3060,Other,60,Kolkata,Furniture,2,2320,2023-09-04,Card,4640
T00152,C3103,Male,40,Kolkata,Electronics,5,4189,2023-06-01,Card,20945
T00153,C8787,Male,50,Ahmedabad,Electronics,5,3123,2023-02-19,Wallet,15615
T00154,C3705,Female,37,Chennai,Books,3,2274,2023-04-23,Card,6822
T00155,C5342,Male,28,Lucknow,Fashion,3,725,2023-02-27,Wallet,2175
T00156,C9645,Female,60,Jaipur,Electronics,3,117,2023-05-28,Wallet,351
T00157,C7932,Female,53,Bengaluru,Furniture,4,1317,2023-08-03,Card,5268
T00158,C4470,Male,29,Delhi,Groceries,3,1300,2023-08-17,Card,3900
T00159,C9835,Male,36,Jaipur,Groceries,2,2723,2023-06-16,UPI,5446
T00160,C4295,Other,24,Bengaluru,Beauty,3,1310,2023-05-07,Cash,3930
T00161,C6107,Other,48,Ahmedabad,Groceries,3,3299,2023-12-06,Card,9897
T00162,C7537,Other,26,Chennai,Fashion,2,3759,2023-08-06,UPI,7518
T00163,C7118,Female,65,Chennai,Books,4,4019,2023-03-01,Card,16076
T00164,C8177,Female,34,Jaipur,Furniture,5,651,2023-04-01,Wallet,3255
T00165,C9479,Female,64,Kolkata,Sports,3,1027,2023-08-26,Cash,3081
T00166,C8397,Female,69,Ahmedabad,Sports,1,4833,2023-06-13,Card,4833
T00167,C2982,Female,53,Mumbai,Books,2,3601,2023-12-05,Card,7202
T00168,C5061,Female,66,Jaipur,Groceries,1,2381,2023-02-28,Wallet,2381
T00169,C4681,Male,29,Pune,Fashion,5,1285,2023-06-27,Card,6425
T00170,C2049,Other,61,Bengaluru,Beauty,4,840,2023-12-23,UPI,3360
T00171,C6539,Other,39,Mumbai,Groceries,1,2746,2023-07-23,UPI,2746
T00172,C1344,Other,59,Lucknow,Electronics,1,1144,2023-12-27,Cash,1144
T00173,C4770,Male,23,Kolkata,Beauty,2,1589,2023-03-07,Cash,3178
T00174,C4608,Other,32,Lucknow,Books,4,3254,2023-09-05,UPI,13016
T00175,C1117,Female,40,Hyderabad,Electronics,5,2988,2023-09-08,Cash,14940
T00176,C2163,Male,32,Kolkata,Fashion,4,2715,2023-11-04,Wallet,10860
T00177,C1964,Male,65,Delhi,Fashion,4,4148,2023-07-30,Card,16592
T00178,C4750,Other,37,Jaipur,Books,5,3572,2023-12-18,Wallet,17860
T00179,C2104,Female,44,Pune,Beauty,1,4042,2023-05-01,UPI,4042
T00180,C1514,Other,68,Hyderabad,Fashion,1,3491,2023-01-15,Cash,3491
T00181,C6413,Male,39,Jaipur,Beauty,5,2831,2023-05-29,Wallet,14155
T00182,C2160,Other,41,Ahmedabad,Fashion,1,1232,2023-05-18,Card,1232
T00183,C9423,Male,34,Jaipur,Groceries,4,2114,2023-09-17,Cash,8456
T00184,C4899,Male,55,Bengaluru,Fashion,1,3239,2023-04-21,UPI,3239
T00185,C5562,Male,36,Lucknow,Fashion,3,3529,2023-07-29,UPI,10587
T00186,C8953,Female,47,Chennai,Fashion,4,4600,2023-02-01,Cash,18400
T00187,C4510,Female,25,Kolkata,Electronics,5,4172,2023-10-15,Wallet,20860
T00188,C9834,Other,48,Pune,Furniture,3,4513,2023-06-15,UPI,13539
T00189,C3167,Other,21,Kolkata,Beauty,4,4472,2023-05-14,Cash,17888
T00190,C8744,Other,58,Delhi,Books,2,4135,2023-12-12,Wallet,8270
T00191,C4981,Female,55,Delhi,Books,1,4462,2023-06-12,Wallet,4462
T00192,C8749,Other,55,Jaipur,Electronics,1,4492,2023-07-30,Card,4492
T00193,C7669,Female,57,Delhi,Electronics,4,1985,2023-07-20,Wallet,7940
T00194,C4119,Male,22,Mumbai,Electronics,3,3250,2023-08-15,UPI,9750
T00195,C2545,Male,48,Bengaluru,Books,2,784,2023-08-06,Card,1568
T00196,C2588,Female,30,Bengaluru,Furniture,4,4859,2023-07-24,Cash,19436
T00197,C8062,Female,50,Mumbai,Books,1,3555,2023-05-14,Cash,3555
T00198,C6804,Male,25,Hyderabad,Furniture,2,4416,2023-01-28,UPI,8832
T00199,C7939,Female,61,Delhi,Electronics,1,4833,2023-05-18,Card,4833
T00200,C7735,Male,42,Ahmedabad,Fashion,3,1896,2023-09-06,Wallet,5688
T00201,C8651,Other,51,Hyderabad,Electronics,3,814,2023-04-23,Wallet,2442
T00202,C1887,Male,37,Delhi,Electronics,2,2026,2023-06-23,Wallet,4052
T00203,C2612,Male,44,Mumbai,Books,1,3063,2023-11-22,Cash,3063
T00204,C1993,Other,21,Lucknow,Beauty,5,123,2023-01-24,Cash,615
T00205,C7596,Female,27,Pune,Sports,3,1765,2023-06-07,UPI,5295
T00206,C6559,Other,26,Ahmedabad,Sports,2,240,2023-08-18,UPI,480
T00207,C2790,Male,30,Jaipur,Electronics,2,3068,2023-07-29,UPI,6136
T00208,C5073,Male,39,Lucknow,Furniture,4,4674,2023-04-24,UPI,18696
T00209,C4139,Male,44,Lucknow,Electronics,3,3982,2023-10-21,Wallet,11946
T00210,C4116,Male,54,Chennai,Groceries,1,1194,2023-03-27,UPI,1194
T00211,C9786,Male,47,Mumbai,Electronics,3,1002,2023-10-02,UPI,3006
T00212,C8350,Other,27,Kolkata,Electronics,4,588,2023-04-16,Cash,2352
T00213,C3296,Male,38,Hyderabad,Groceries,5,2961,2023-11-17,Cash,14805
T00214,C7912,Female,63,Lucknow,Beauty,2,3056,2023-02-26,Cash,6112
T00215,C4006,Other,29,Delhi,Electronics,1,1241,2023-11-11,Wallet,1241
T00216,C5563,Other,67,Mumbai,Books,2,2514,2023-11-09,Card,5028
T00217,C8579,Other,23,Hyderabad,Electronics,4,3871,2023-06-18,Wallet,15484
T00218,C5092,Male,49,Ahmedabad,Books,1,1280,2023-03-08,Card,1280
T00219,C2235,Male,39,Delhi,Electronics,3,4617,2023-11-06,Wallet,13851
T00220,C8260,Other,58,Ahmedabad,Sports,5,3549,2023-10-04,UPI,17745
T00221,C2604,Male,29,Mumbai,Fashion,5,2086,2023-01-11,Cash,10430
T00222,C1828,Female,38,Kolkata,Sports,4,1826,2023-01-11,Wallet,7304
T00223,C9856,Female,58,Jaipur,Fashion,2,1939,2023-07-14,Wallet,3878
T00224,C1241,Male,21,Pune,Fashion,5,557,2023-02-16,Wallet,2785
T00225,C2528,Other,18,Kolkata,Beauty,2,1228,2023-12-27,Cash,2456
T00226,C4872,Male,46,Mumbai,Groceries,5,1060,2023-06-20,Cash,5300
T00227,C3724,Male,35,Lucknow,Electronics,5,1272,2023-06-30,Cash,6360
T00228,C7658,Male,31,Chennai,Electronics,5,3192,2023-10-11,Cash,15960
T00229,C8956,Other,66,Jaipur,Fashion,2,315,2023-02-02,Cash,630
T00230,C8886,Female,67,Mumbai,Books,1,3579,2023-12-02,Card,3579
T00231,C4502,Male,28,Delhi,Beauty,5,3144,2023-01-26,UPI,15720
T00232,C7570,Other,54,Chennai,Groceries,2,543,2023-09-23,Wallet,1086
T00233,C1960,Other,66,Delhi,Sports,1,968,2023-04-18,Wallet,968
T00234,C3697,Female,28,Hyderabad,Groceries,2,4864,2023-07-05,Cash,9728
T00235,C7209,Other,49,Jaipur,Groceries,3,704,2023-10-02,UPI,2112
T00236,C1035,Other,68,Delhi,Fashion,5,4006,2023-04-12,Wallet,20030
T00237,C7396,Other,66,Delhi,Books,2,4965,2023-03-22,Wallet,9930
T00238,C5345,Female,67,Hyderabad,Sports,5,1395,2023-10-02,Cash,6975
T00239,C8454,Male,23,Jaipur,Books,3,347,2023-07-22,Wallet,1041
T00240,C5673,Female,26,Pune,Beauty,2,1303,2023-04-28,Wallet,2606
T00241,C7930,Male,57,Hyderabad,Sports,1,3092,2023-05-29,Cash,3092
T00242,C8973,Other,45,Hyderabad,Fashion,5,1257,2023-03-24,Card,6285
T00243,C3536,Other,58,Jaipur,Sports,5,747,2023-07-11,Card,3735
T00244,C4111,Male,45,Hyderabad,Sports,3,2107,2023-06-19,Cash,6321
T00245,C5861,Female,43,Lucknow,Electronics,5,731,2023-07-31,UPI,3655
T00246,C4566,Female,45,Bengaluru,Electronics,4,202,2023-04-21,Cash,808
T00247,C1958,Female,48,Jaipur,Books,1,4762,2023-10-11,UPI,4762
T00248,C9883,Male,42,Jaipur,Sports,4,3511,2023-05-08,Wallet,14044
T00249,C1998,Other,18,Pune,Books,1,1326,2023-01-07,Cash,1326
T00250,C6138,Other,20,Delhi,Electronics,3,1594,2023-01-19,Wallet,4782
T00251,C1936,Other,52,Lucknow,Sports,4,3948,2023-01-11,UPI,15792
T00252,C1821,Male,30,Kolkata,Fashion,4,1247,2023-09-27,UPI,4988
T00253,C8811,Other,64,Ahmedabad,Beauty,3,4420,2023-02-22,UPI,13260
T00254,C9238,Other,41,Pune,Fashion,1,2553,2023-09-14,UPI,2553
T00255,C9701,Female,18,Delhi,Groceries,5,3951,2023-07-23,Card,19755
T00256,C3579,Other,38,Bengaluru,Fashion,4,3471,2023-09-06,UPI,13884
T00257,C1931,Female,66,Bengaluru,Books,4,2863,2023-01-22,Wallet,11452
T00258,C9320,Male,51,Jaipur,Sports,3,3737,2023-03-22,Cash,11211
T00259,C2312,Female,30,Pune,Electronics,5,208,2023-05-25,UPI,1040
T00260,C4044,Other,19,Jaipur,Beauty,1,2449,2023-06-04,Wallet,2449
T00261,C2122,Other,61,Kolkata,Electronics,2,1011,2023-01-13,UPI,2022
T00262,C2113,Female,18,Bengaluru,Fashion,1,1377,2023-04-28,Card,1377
T00263,C4853,Other,58,Jaipur,Sports,3,591,2023-11-20,Card,1773
T00264,C7615,Female,64,Lucknow,Books,4,363,2023-12-19,UPI,1452
T00265,C2964,Other,33,Ahmedabad,Beauty,5,1521,2023-05-07,Wallet,7605
T00266,C5033,Female,32,Kolkata,Furniture,4,4222,2023-01-18,UPI,16888
T00267,C1651,Female,62,Kolkata,Groceries,3,1413,2023-05-20,Card,4239
T00268,C2343,Male,40,Jaipur,Beauty,1,189,2023-03-05,Wallet,189
T00269,C7868,Female,37,Kolkata,Sports,4,3347,2023-07-13,Cash,13388
T00270,C9565,Female,26,Kolkata,Fashion,2,3570,2023-12-02,UPI,7140
T00271,C6183,Male,24,Pune,Furniture,3,3821,2023-07-25,UPI,11463
T00272,C5272,Other,42,Pune,Beauty,1,4639,2023-03-09,Card,4639
T00273,C4346,Female,50,Kolkata,Electronics,5,2213,2023-05-19,UPI,11065
T00274,C6147,Male,55,Lucknow,Fashion,1,4786,2023-02-13,UPI,4786
T00275,C4910,Male,37,Hyderabad,Books,2,4211,2023-02-09,Cash,8422
T00276,C5351,Female,28,Lucknow,Groceries,4,2607,2023-02-07,Cash,10428
T00277,C7484,Other,22,Jaipur,Furniture,1,1962,2023-09-16,Wallet,1962
T00278,C3144,Male,70,Hyderabad,Furniture,2,3570,2023-12-27,UPI,7140
T00279,C5915,Female,20,Pune,Fashion,2,1384,2023-08-01,Wallet,2768
T00280,C8491,Male,37,Jaipur,Sports,2,2326,2023-01-11,Card,4652
T00281,C6180,Other,36,Chennai,Fashion,3,853,2023-01-08,Wallet,2559
T00282,C2188,Female,47,Kolkata,Furniture,3,4372,2023-10-05,Card,13116
T00283,C1152,Female,64,Ahmedabad,Electronics,1,3192,2023-11-06,UPI,3192
T00284,C8508,Other,51,Ahmedabad,Books,1,1125,2023-03-19,Wallet,1125
T00285,C2638,Other,56,Pune,Groceries,1,1835,2023-02-18,UPI,1835
T00286,C2200,Male,51,Mumbai,Electronics,4,3380,2023-10-29,UPI,13520
T00287,C9808,Female,39,Mumbai,Furniture,4,558,2023-07-20,Wallet,2232
T00288,C4492,Male,45,Chennai,Electronics,1,1893,2023-04-10,UPI,1893
T00289,C9288,Female,61,Lucknow,Sports,5,3313,2023-11-07,Card,16565
T00290,C5345,Male,26,Mumbai,Fashion,3,1604,2023-06-09,Card,4812
T00291,C3170,Female,39,Jaipur,Furniture,3,4681,2023-06-15,UPI,14043
T00292,C6718,Other,49,Bengaluru,Books,2,732,2023-08-06,Cash,1464
T00293,C2127,Male,40,Chennai,Groceries,1,3937,2023-09-20,Cash,3937
T00294,C5002,Female,66,Mumbai,Beauty,4,4010,2023-01-12,Card,16040
T00295,C7054,Female,30,Chennai,Groceries,2,2665,2023-06-04,UPI,5330
T00296,C5669,Male,28,Hyderabad,Sports,3,3418,2023-05-21,UPI,10254
T00297,C3584,Other,69,Hyderabad,Beauty,1,3216,2023-08-23,Card,3216
T00298,C8179,Other,43,Kolkata,Electronics,3,1450,2023-04-14,Wallet,4350
T00299,C9900,Male,19,Mumbai,Electronics,5,547,2023-02-21,Cash,2735
T00300,C5956,Male,32,Chennai,Groceries,2,3143,2023-05-16,Card,6286
T00301,C9666,Female,32,Jaipur,Furniture,1,3575,2023-12-02,Cash,3575
T00302,C1128,Female,64,Jaipur,Electronics,5,1695,2023-10-23,Cash,8475
T00303,C5905,Other,26,Jaipur,Furniture,5,2311,2023-08-30,Wallet,11555
T00304,C2697,Other,31,Lucknow,Groceries,4,988,2023-07-12,UPI,3952
T00305,C3200,Other,64,Lucknow,Furniture,1,955,2023-05-30,Card,955
T00306,C5333,Male,19,Bengaluru,Sports,4,737,2023-08-08,UPI,2948
T00307,C2891,Male,55,Delhi,Beauty,5,3071,2023-02-17,UPI,15355
T00308,C2753,Male,50,Mumbai,Groceries,1,2848,2023-04-24,Wallet,2848
T00309,C3546,Other,28,Ahmedabad,Beauty,1,329,2023-07-28,Card,329
T00310,C5462,Other,25,Kolkata,Books,1,2062,2023-10-15,Wallet,2062
T00311,C5616,Other,41,Bengaluru,Furniture,1,2411,2023-05-23,Cash,2411
T00312,C4450,Other,63,Bengaluru,Fashion,4,1433,2023-09-05,UPI,5732
T00313,C6617,Male,59,Chennai,Sports,3,4536,2023-05-26,Cash,13608
T00314,C4335,Female,68,Kolkata,Furniture,1,972,2023-12-26,UPI,972
T00315,C5325,Male,20,Lucknow,Groceries,2,635,2023-10-01,Card,1270
T00316,C9280,Female,42,Hyderabad,Books,1,1835,2023-09-17,Wallet,1835
T00317,C9004,Female,58,Hyderabad,Furniture,4,4991,2023-05-06,Cash,19964
T00318,C5114,Male,34,Chennai,Fashion,1,189,2023-07-15,Card,189
T00319,C1832,Male,67,Chennai,Books,3,2632,2023-01-09,Card,7896
T00320,C2512,Male,52,Delhi,Electronics,5,1637,2023-09-12,UPI,8185
T00321,C7939,Other,57,Lucknow,Books,4,4619,2023-07-21,Cash,18476
T00322,C5533,Male,21,Pune,Books,1,1752,2023-07-10,Wallet,1752
T00323,C1722,Other,56,Lucknow,Furniture,1,365,2023-10-07,Card,365
T00324,C1058,Female,21,Hyderabad,Beauty,1,2068,2024-01-01,Card,2068
T00325,C6464,Male,60,Delhi,Groceries,5,2305,2023-02-25,Card,11525
T00326,C3143,Other,24,Kolkata,Fashion,1,796,2023-08-20,Card,796
T00327,C5291,Other,59,Ahmedabad,Electronics,3,4770,2023-04-25,Wallet,14310
T00328,C3647,Other,19,Bengaluru,Beauty,4,4726,2023-10-23,Card,18904
